locus	locus_start	locus_stop	hdl_piece	hdl_start	hdl_stop	overlap_start	overlap_stop	hdl_rg	hdl_p	hdl_lower	hdl_upper	lava_rho	lava_p	lava_lower	lava_upper	direction_comparison	interpretation
L006	28100711	30130300	12	27953418	29454477	28100711	29454477	-0.829382938293829	0.0705819926469326	-1.0	0.0737073707370738	-0.331961	0.0941787	-0.78294	0.05909	SAME_SIGN	DIRECTIONALLY_CONCORDANT
L006	28100711	30130300	13	29457622	30961645	29457622	30130300	NA	NA	NA	NA	-0.331961	0.0941787	-0.78294	0.05909	NA	HDL_L_NOT_ESTIMABLE_IN_BLOCK
L007	32605227	33611247	15	31905703	32657397	32605227	32657397	NA	NA	NA	NA	0.0671874	0.639564	-0.22246	0.36139	NA	HDL_L_NOT_ESTIMABLE_IN_BLOCK
L007	32605227	33611247	16	32663153	33501556	32663153	33501556	-0.138513851385138	0.73531076675916	-0.80998099809981	0.627162716271627	0.0671874	0.639564	-0.22246	0.36139	OPPOSITE_SIGN	DIRECTIONALLY_DISCORDANT
L007	32605227	33611247	17	33501743	34361131	33501743	33611247	NA	NA	NA	NA	0.0671874	0.639564	-0.22246	0.36139	NA	HDL_L_NOT_ESTIMABLE_IN_BLOCK
