ambiguous_removed	build	build_liftover_count	column_mapping_json	duplicate_removed	final_snps	hapmap3_reference_available	info_removed	invalid_allele_removed	invalid_bp_removed	invalid_chr_removed	invalid_n_removed	invalid_p_removed	invalid_se_removed	invalid_z_removed	maf_removed	missing_beta	missing_eaf	missing_info	missing_maf	missing_se	post_MHC_exclusion	post_basic_qc	post_basic_unique_snps	post_hapmap3	raw_beta_column_available	raw_eaf_column_available	raw_info_column_available	raw_maf_column_available	raw_n_column_available	raw_se_column_available	raw_snps	signed_z_only	source_file	source_md5	source_sha256	trait
1669292	GRCh37	0	"{""snp"": ""Marker"", ""chr"": ""Chrom"", ""bp"": ""Pos"", ""a1"": ""Allele1"", ""a2"": ""Allele2"", ""beta"": null, ""or"": null, ""se"": null, ""p"": ""GC.Pvalue"", ""z"": null, ""eaf"": null, ""maf"": null, ""info"": null, ""n"": null, ""cases"": ""Ncases"", ""controls"": ""Ncontrols"", ""direction"": ""Overall""}"	0	1191306	True	0	3125	0	300873	0	0	0	0	0	12023830	12023830	12023830	12023830	12023830	1191306	10050540	11999881	1194340	False	False	False	False	True	False	12023830	True	data/raw/ADV_AMD_GCST003219_Fritsche-26691988.txt.gz	13e56ff873d18afc5796107a3b7112cd	c3c64ace09937a00bfd69706464e3ade5cb8a0c706fdf65cbcf2df50106176c5	ADV_AMD
0	GRCh37	0	"{""snp"": ""rsid"", ""chr"": ""chr"", ""bp"": ""pos_b37"", ""a1"": ""ea"", ""a2"": ""oa"", ""beta"": ""beta"", ""or"": null, ""se"": ""se"", ""p"": ""p"", ""z"": null, ""eaf"": ""eaf"", ""maf"": null, ""info"": null, ""n"": null, ""cases"": ""n_cases"", ""controls"": ""n_ctrls"", ""direction"": null}"	0	1183000	True	0	2278	0	0	0	0	0	0	1687040	0	0	11703383	11703383	0	1183000	10014065	11658693	1185940	True	True	False	False	True	True	11703383	False	data/raw/EARLY_AMD_GCST010723_winkler_et_al_earlyamd_meta.gz	2de593df287af857a4abf0593f755381	865091465e7fb083426db442826594d25e3acf7c34ebeb54f28f19c4fa4d57aa	EARLY_AMD
2017163	GRCh37	0	"{""snp"": ""variant_id"", ""chr"": ""chromosome"", ""bp"": ""base_pair_location"", ""a1"": ""effect_allele"", ""a2"": ""other_allele"", ""beta"": ""beta"", ""or"": null, ""se"": ""standard_error"", ""p"": ""p_value"", ""z"": null, ""eaf"": null, ""maf"": null, ""info"": null, ""n"": null, ""cases"": null, ""controls"": null, ""direction"": null}"	0	1208440	True	0	0	0	470025	0	0	0	0	0	0	14219919	14219919	14219919	0	1208440	11732731	13974986	1211512	True	False	False	False	False	True	14219919	False	data/raw/POAG_GCST90011766_buildGRCh37.tsv.gz	9454a0356cc80f2683237a8db494c672	2056252e5b2534ee27cebcb3b7ed59f011fcaa5369215b2797676b58318bab05	POAG
1184985	unknown	0	"{""snp"": ""SNP"", ""chr"": ""CHR"", ""bp"": ""POS"", ""a1"": ""A1"", ""a2"": ""A2"", ""beta"": ""BETA"", ""or"": null, ""se"": ""SE"", ""p"": ""P"", ""z"": null, ""eaf"": null, ""maf"": ""MAF"", ""info"": null, ""n"": null, ""cases"": null, ""controls"": null, ""direction"": null}"	0	1147791	True	0	0	0	0	0	0	0	0	0	0	7777316	7777316	0	0	1147791	6592331	7777316	1150599	True	False	False	True	False	True	7777316	False	data/processed/extracted/POAG_nonIOP/GBS_nonIOPcomponent_main_Figure2.txt	9c408982f11d3728ca6e5968990cd2b0	19a348850a70e46746554f729cc5edad4e46d9cdd8f6c8174dd6c2022832a46e	POAG_nonIOP
1184985	unknown	0	"{""snp"": ""SNP"", ""chr"": ""CHR"", ""bp"": ""POS"", ""a1"": ""A1"", ""a2"": ""A2"", ""beta"": ""BETA"", ""or"": null, ""se"": ""SE"", ""p"": ""P"", ""z"": null, ""eaf"": null, ""maf"": ""MAF"", ""info"": null, ""n"": null, ""cases"": null, ""controls"": null, ""direction"": null}"	0	1147791	True	0	0	0	0	0	0	0	0	0	0	7777316	7777316	0	0	1147791	6592331	7777316	1150599	True	False	False	True	False	True	7777316	False	data/processed/extracted/POAG_IOP/GBS_IOPcomponent_Supplementary_Figure_4b.txt	7b9f7e8794be234bec95c731c4f217a0	9fb45de02e90563b5146ba95a2cfd75e9b5f0b80176ff78e46c7149ab07a0e5c	POAG_IOP
0	unknown	0	"{""snp"": ""SNP"", ""chr"": ""CHR"", ""bp"": ""BP"", ""a1"": ""A1"", ""a2"": ""A2"", ""beta"": ""BETA"", ""or"": null, ""se"": ""SE"", ""p"": ""P"", ""z"": null, ""eaf"": null, ""maf"": null, ""info"": null, ""n"": null, ""cases"": null, ""controls"": null, ""direction"": null}"	0	945927	True	0	0	0	0	0	0	0	0	0	0	5789735	5789735	5789735	0	945927	5789735	5789735	947142	True	False	False	False	False	True	5789735	False	data/raw/NTG_Zenodo14010557_MTAG_NTG_IGGC_STAGE2.tab	7dd090e205f124c4a06220df744635be	8fb03b9bad5a9da6aa119932332f806e415985c419603dff34570b20337a6b85	NTG
